date,open,high,low,close,volume,daily_return,log_return,rsi,rsi_21,rsi_28,macd,signal,histogram,atr,adx,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_60,ema_60,sma_200,ema_200,momentum_5,momentum_10,momentum_20,volatility_20
2019-05-08,44.095,44.955,44.0575,44.345,26339504.0,0.0002255554302470486,0.00022552999644540782,52.88496507767767,56.875947361415214,58.06380797421292,0.9369407439008839,1.1652669471688588,-0.22832620326797493,1.1118697072345258,32.191168675556824,45.133,45.002345193048754,44.665,44.44569918507856,41.888450000000006,42.28114468855788,41.001375,41.77191948932042,41.528075,40.049434920513704,-0.041189189189189235,-0.023452983924245663,0.019542476146683585,0.018078770918856298
2019-05-09,43.72,44.04,42.785,43.8,34908607.0,-0.01228999887247717,-0.012366145446015237,49.2879120372289,54.15165718442357,55.95761039507789,0.777454259249744,1.087704409585036,-0.3102501503352919,1.1438790138606314,30.89082240737518,45.01899999999999,44.7837369761308,44.66625,44.38420402459489,42.017700000000005,42.340707641947766,41.12566666666667,41.83841393229352,41.5422,40.086753976030984,-0.04590753144910964,-0.025367156208277675,0.0005711022272987254,0.018272872291417684
2019-05-10,43.1675,43.525,42.005,43.1075,41208712.0,-0.015810502283104877,-0.015936821490250674,45.09115401725962,50.89894190590572,53.40495218869119,0.5883984178934369,0.9878432112467161,-0.3994447933532792,1.1903876557277289,30.203323227762258,44.86024999999999,44.478966616834285,44.65375,44.26261316510966,42.1417,42.37077793049883,41.24137499999999,41.88002331156258,41.551125,40.11681115039884,-0.07410191698437407,-0.0355185143752097,-0.005766015106959621,0.018500954272347582
2019-05-13,40.74,41.1825,39.525,40.2425,57430623.0,-0.06646175259525611,-0.06877334479390224,32.689671681195875,40.366106314987675,44.66346986882672,0.20502534084341306,0.8312796371660556,-0.6262542963226425,1.3612528231757486,30.828486531671793,44.40725,43.70869995922805,44.499,43.87974524462303,42.1993,42.287316050871425,41.30675,41.82633402265889,41.54344999999999,40.118061785718254,-0.12019020550940096,-0.10117817856943434,-0.07141620997980958,0.023714938619103065
2019-05-14,40.415,41.2375,40.165,40.9775,36529677.0,0.018264272845871954,0.018099484483130698,37.44307878918608,43.51475069661094,46.97266347671506,-0.03904217355012207,0.6572152750228201,-0.6962574485729421,1.3406276215203379,31.356019380730572,44.12625,43.21211814845931,44.3765,43.603340935611314,42.2672,42.23595071554313,41.385958333333335,41.79850339896515,41.540212499999996,40.12661340974096,-0.0757302357054247,-0.06417356551527265,-0.056415865522998154,0.024184320139790667
2019-05-15,40.38,41.75,40.3175,41.5425,26544718.0,0.013788054420108553,0.013693864011853466,40.898248966783925,45.82357659036268,48.67989086959609,-0.18474701048465647,0.4888228179213248,-0.6735698284059812,1.3471899342688851,31.34397882878987,43.655499999999996,42.9085512123758,44.282,43.407070370315,42.348,42.20875656983556,41.47245833333333,41.79010984490072,41.5438375,40.14070183352464,-0.06319765475250883,-0.10178378378378383,-0.04351580037989988,0.02445740243925629
2019-05-16,41.29,41.93,41.0225,41.3325,33031364.0,-0.0050550640909909905,-0.005067884149868394,40.013627385966075,45.10407450592368,48.08319912980629,-0.31354997947342866,0.32834825844237414,-0.6418982379158028,1.3157835103925362,31.15601438420009,43.198,42.621996446489284,44.128499999999995,43.20949223980881,42.42965,42.17439356709691,41.550875000000005,41.77510624342856,41.54774999999999,40.15256052174828,-0.05633561643835605,-0.09965691880411687,-0.06914025111198696,0.023784504141125633
2019-05-17,40.545,41.5375,40.5025,41.0625,32879090.0,-0.0065323897659227415,-0.006553819198533815,38.85010650375145,44.16784346432496,47.30999867234223,-0.4324292289150762,0.1761927609708841,-0.6086219898859603,1.295727545364498,31.263774797136147,42.6485,42.33845163803669,43.952374999999996,43.00501678839845,42.516000000000005,42.13078989779899,41.62883333333333,41.75174210429975,41.5498375,40.161614645909985,-0.047439540683175796,-0.11802609676206832,-0.07900639228440065,0.023728856530258285
2019-05-20,39.6925,39.9,38.8825,39.585,38612290.0,-0.035981735159817285,-0.036645037621432126,33.166608277460114,39.461400698799444,43.35375144236938,-0.6385035214529466,0.01325350448611796,-0.6517570259390646,1.3588898635527482,32.11814682984748,42.033,41.83782406748456,43.694,42.67930090378908,42.57075,42.03095499984609,41.67420833333333,41.68070137956861,41.530525,40.1558771867467,-0.016338448158041863,-0.13456493222562316,-0.11546840958605653,0.024703233586388117
2019-05-21,40.1175,40.8125,39.9875,40.4625,28364848.0,0.022167487684729092,0.021925360628965683,38.88502104627832,43.233536832507205,46.1283774111488,-0.7226813458463965,-0.13393346558038494,-0.5887478802660115,1.3495048732989805,32.02278223751034,41.64575,41.58776514612373,43.442625,42.46817700819012,42.6131,41.96944696063644,41.72895833333334,41.6407603507303,41.50823750000001,40.158928160012906,-0.012567872613019393,-0.08734634036314426,-0.11051879533963516,0.025004427947287695
